index,department,organization,notice,company,part,apply_start,apply_end,object,overview,tag,filename,budget,deadline
402,경기도,기초자치단체,[경기] 안양시 2023년 안양형 뉴딜 청년일자리사업 참여기업 모집 공고(행정안전부 지역주도형 청년일자리사업),사회적기업,인력,2022-12-12,2022-12-16,국내일반인력,"지역경제와 청년이 함께 혁신ㆍ성장할 수 있는 지역특화ㆍ미래新산업ㆍ디지털분야 정규직 일자리 창출을 위해 안양시 소재 중소기업을 대상으로 인건비, 기본 및 심화교육 등을 지원해 드리는 사업입니다.☞ 안양시 소재 중소기업☞ 최대 24개월간 인건비 월 200만원의 80%, 청년채용자 기본 및 심화교육 등 지원","인력,경기,중소기업,협동조합,교육,강소기업,일자리창출,청년,경기도,기초자치단체,인건비,안양시,청년일자리,뉴딜,(예비)사회적기업,지식서비스산업,(예비)마을기업,2023,문화콘텐츠산업,미래유망기업",뉴딜청년일자리 공고문.hwp,월 200만원,모집종료
403,서울특별시,기초자치단체,[서울] 동대문구 2023년 지역주도형 청년일자리사업 참여기업 모집 공고(행정안전부 지역주도형 청년일자리사업),중소기업,인력,2022-11-28,2022-12-13,국내일반인력,"청년에게 지역 일자리를 제공하고 지속가능한 경제활동을 지원하고자 동대문구 소재 사회적경제기업, 공공서비스기관 및 지역사회공헌 기업을 대상으로 청년 인건비 및 직무역량 강화 프로그램 운영을 지원해 드리는 사업입니다.☞ 관내 상시 근로자 5인 이상의 사회적경제기업, 공공서비스기관 및 지역사회공헌 기업☞ 청년 인건비 90% 및 생활임금 지급에 따른 차액 지원, 직무역량 강화교육 운영 등 지원","인력,서울,교육,청년,서울특별시,기초자치단체,사회적경제기업,인건비,행정안전부,2023,직무역량강화,공공서비스기관,지역사회공헌기업,동대문구",1_2023년 지역주도형 청년일자리사업 참여기업체(기관) 모집 공고문.hwp,지원금,모집종료
404,대전광역시,대전일자리경제진흥원,[대전] 2023년 우수기업 청년채용 지원사업 참여기업 모집 공고(행정안전부 지역주도형 청년일자리사업),중소기업,인력,2022-12-01,2022-12-15,국내일반인력,"청년들의 안정적인 일자리 기반을 마련하고 지역 내 청년 유입 활성화를 위하여 대전 관내 우수 중소기업을 대상으로 청년 인력 신규 고용시 인건비 및 교육비를 지원해 드리는 사업입니다.☞ 대전시 관내에 본사 또는 사업장을 둔 유망중소기업, 좋은일터 선정 등 대전시 인증서를 보유한 일정 규모 이상인 중소기업☞ 인건비 및 직무역량 강화 교육비 등 지원","인력,대전,교육,대전광역시,대전일자리경제진흥원,인건비,유망중소기업,신규채용,2023",2023년+우수기업청년채용+지원사업+사업공고문.hwp.hwp,지원금,모집종료
405,대전광역시,대전일자리경제진흥원,[대전] 2023년 컨택센터 청년신규채용 지원사업(신규) 모집 공고(행정안전부 지역주도형 청년일자리사업),중소기업,인력,2022-11-30,2022-12-16,국내일반인력,대전지역에 거주하는 청년들의 신규채용을 지원하고 안정적 일자리 창출로 지역경제 활성화 도모하고자 미취업 청년을 신규 채용하는 컨택 기업에 인건비를 지원해 드리는 사업입니다.☞ 대전시 컨택센터협회 회원사 및 대전시에서 컨택센터를 운영중인 사업장☞ 인건비 및 참여자 직무교육 등 지원,"인력,대전,대전광역시,일자리창출,대전일자리경제진흥원,인건비,행정안전부,2023,컨택센터,청년신규채용",1. 2023년 컨택센터 청년신규채용 지원사업(신규) 모집공고.hwp,지원금,모집종료
406,전라북도,캠틱종합기술원,[전북] 군산시 2023년 맛있는 군산 먹거리산업 청년일자리사업 참여기업 모집 공고(행정안전부 지역주도형 청년일자리사업),벤처기업,인력,2022-12-01,2022-12-20,국내일반인력,"군산시 지역 내 고용환경 개선을 통한 전문성 확보 및 관련 산업분야의 활성화를 위해 관내 먹거리산업 기업에서 미취업 청년 채용 시 인건비를 지원해 드리는 사업입니다.☞ 군산시 먹거리산업 관련 중소ㆍ중견기업체, 단체(기관) ☞ 신규 채용 청년 인건비 지원","인력,경영,전북,전라북도,고용,중소,청년,인건비,중견,채용,벤처기업인증,군산시,캠틱종합기술원,여성기업인증,행정안전부,2023,먹거리산업,중소기업인증",2023년 맛있는 군산 먹거리산업 청년일자리사업 참여기업 모집 공고.hwp,지원금,모집종료
407,경상북도,경북자동차임베디드연구원,[경북] 2023년 영천시 친환경 모빌리티 부품전환 및 고도화를 위한 고용 지원사업 모집 공고,중소기업,인력,2022-11-28,2022-12-23,국내전문인력,"경북 영천시 내 친환경 모빌리티 분야 전문인력 발굴ㆍ육성, 신규 일자리창출을 통한 단순제조기업 부품전환 활성화 및 기술경쟁력 확보를 도모하기 위하여 청년 인건비 등을 지원해 드리는 사업입니다.☞ 경북 영천시 소재 자동차산업 분야 친환경 모빌리티 부품전환기업  ☞ 인건비 1인당 200만원 (기업부담금 10%포함), 지역정착금, 직무교육 등 지원","인력,경북,경상북도,친환경,청년,인건비,모빌리티,영천시,자동차산업,2023,경북자동차임베디드연구원",영천시 친환경 부품전환 및 고도화를 위한 고용지원사업 공고문(2023년).pdf,1인당 200만원,모집종료
408,충청남도,충남테크노파크,[충남] 충청남도ㆍ발전3사 상생협력 지원사업 참여기업 모집 공고,벤처기업,인력,2022-11-29,2022-12-20,고용유지,"충남 화력발전 전후방 기업 및 지역 유망 중소 벤처기업의 일자리 창출 및 기업의 매출 신장을 통한 지역 경제 활성화를 도모하고, 경쟁력을 강화하고자 근로복지 환경 개선, 마케팅, 시제품제작 등을 지원해 드리는 사업입니다.☞ 충남 소재 발전3사 전후방기업(지역 유망중소벤처기업 등)으로 중소기업확인서 발급이 가능한 기업 ☞ 근로복지 환경 개선, 생산공정 개선, 안전관리 등 지원","기술,인력,내수,경영,충남,중소기업,마케팅,2022,충청남도,시제품제작,안전관리,사업화,벤처,충남테크노파크,근로복지환경,발전3사,생산공정개선",5차년도 충남도 발전3사 상생협력지원사업 공고(최종).hwp,"컨설팅, 인력 등 지원",모집종료
409,중소벤처기업부,중소기업기술정보진흥원,2022년 12월 공공연 연구인력지원사업 공고(공공연 연구인력 파견지원),벤처기업,인력,2022-12-01,2022-12-30,국내전문인력,"기술 노하우 전수 및 R&D 수행을 통한 기술혁신역량을 강화하기 위해 공공연 연구인력을 중소기업에 파견해 드리는 사업입니다.☞ '중소기업기본법'제2조에 따른 중소기업으로, 기업부설연구소를 보유한 기술혁신형 중소기업, 경영혁신형 중소기업, 벤처기업☞ 기업별 1명, 최대 3년 이내 지원","기술,인력,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,중소기업,2022,중소벤처기업부,중소기업기술정보진흥원,중소,벤처기업,연구인력,스타트업100,채용,연구소기업,강소기업100,지방기업,파견,공공연,이공계,계속고용기업",[공고문]+2022년+중소기업+연구인력지원사업_파견사업_공고.hwp,"컨설팅, 인력 등 지원",모집종료
410,전라남도,전남테크노파크,[전남] 여수시 스마트제조+유망기업2.0 일자리프로젝트 참여기업 추가모집 재공고,중소기업,인력,2022-12-06,2022-12-20,국내일반인력,"전남 지역에 활력을 불어넣고 청년들의 지역안착을 위해 여수시 소재 기업 중 스마트공장 도입기업, 지역스타기업 등 사업 영위 중인 개인사업자 및 법인사업자를 대상으로 인건비, 청년근로자 직무 및 전문교육, 활동수당 등을 지원해 드리는 사업입니다.☞ 전라남도 여수시 중소기업 ☞ 인력채용, 직무교육, 활동수당 등 지원","인력,경영,전남,2022,스마트공장,전남테크노파크,전라남도,인력채용,글로벌강소기업,유망기업,여수시,지역스타기업,직무교육,활동수당,스마트제조+,일자리프로젝트",여수시 스마트제조+유망기업2.0 일자리프로젝트 참여기업 추가모집 공고.hwp,지원금,모집종료
411,충청남도,기초자치단체,[충남] 부여군 2023년 특성화 전문인력 양성 일자리 사업 청년 및 참여기업 모집 공고,중소기업,인력,2022-11-24,2022-12-05,국내일반인력,충청남도 부여군 지역 내 청년 일자리 창출과 지역기업의 인력난 해소를 위해 청년근로자를 신규채용 시 인건비를 지원해 드리는 사업입니다.☞ 청년 신규채용이 가능한 충남 부여군 소재 상시근로자가 1인 이상(대표자 제외)인 단체(청년근로자전담 교육인력 보유사업장)☞ 채용 청년 1인 최대 월200만원 기준 월180만원 한도 인건비 지원(24개월 지원),"인력,충남,충청남도,기초자치단체,인건비,청년일자리,청년채용,부여군,신규채용,2023",2023년 특성화 전문인력 양성 일자리 사업 공고문.hwp,200만원,모집종료
